"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_cassandra_run3.csv 1",,,,"Date:","23 Jul 2026 14:43:44 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:43:44,,10047152,45615716,702356,8208356,,,,
23-07 14:43:45,13.249,2.000,81.745,0,0,10049148,45613444,702356,8208624,0,23.999,0,3.000,183.989,429.973
23-07 14:43:46,6.500,1.750,87.376,0,0,10049356,45612836,702360,8209008,0,12.000,0,2.000,0,0
23-07 14:43:47,6.250,2.250,87.998,0,0,10049344,45612324,702360,8209520,0,0,0,0,0,0
23-07 14:43:48,5.500,2.625,87.881,0,0,10049332,45611940,702360,8209904,0,0,0,0,0,0
23-07 14:43:49,5.750,2.500,87.871,0,0,10049572,45611304,702360,8210288,0,0,0,0,0,0
23-07 14:43:50,5.750,2.125,88.252,0,0,10049564,45610792,702360,8210800,0,0,0,0,0,0
23-07 14:43:51,7.375,2.500,86.625,0,0,10049776,45610184,702360,8211184,0,12.000,0,2.000,76.000,90.000
23-07 14:43:52,6.250,2.625,87.502,0,0,10049880,45609944,702364,8211312,0,4116.088,0,34.001,0,0
23-07 14:43:53,9.375,2.250,84.996,0,0,10049804,45609496,702364,8211828,0,0,0,0,0,0
23-07 14:43:54,5.500,2.625,88.004,0,0,10050880,45608288,702364,8211956,0,92.004,0,2.000,0,0
23-07 14:43:55,7.250,2.125,87.870,0,0,10050920,45605164,702364,8214944,0,0,0,0,0,0
23-07 14:43:56,6.000,2.875,87.876,0,0,10050824,45601964,702368,8218140,0,120.002,0,23.000,0,0
23-07 14:43:57,5.750,2.500,88.126,0,0,10050728,45598508,702368,8221600,0,0,0,0,0,0
23-07 14:43:58,5.500,2.375,88.128,0,0,10050628,45595052,702368,8225056,0,0,0,0,0,0
23-07 14:43:59,6.375,2.250,88.123,0,0,10050532,45591468,702368,8228640,0,0,0,0,0,0
23-07 14:44:00,6.000,2.500,87.999,0,0,10050168,45588396,702372,8231968,0,18527.867,0,149.999,0,0
23-07 14:44:01,6.250,2.500,87.749,0,0,10050084,45584940,702372,8235424,0,0,0,0,0,0
23-07 14:44:02,5.375,2.500,88.125,0,0,10049988,45581356,702372,8239008,0,0,0,0,0,0
23-07 14:44:03,6.250,2.500,87.874,0,0,10049880,45578028,702372,8242336,0,0,0,0,0,0
23-07 14:44:04,5.500,2.375,88.254,0,0,10050048,45574448,702372,8245664,0,0,0,0,0,0
23-07 14:44:05,7.375,2.250,87.373,0.125,0,10050036,45573936,702376,8246184,0,16367.585,0,130.997,0,0
23-07 14:44:06,7.000,2.250,87.378,0,0,10050020,45573552,702380,8246568,0,64.003,0,12.000,0,0
23-07 14:44:07,5.750,2.375,88.117,0,0,10050008,45573168,702380,8246952,0,0,0,0,75.993,89.992
23-07 14:44:08,5.750,2.875,87.629,0,0,10050236,45572404,702380,8247472,0,0,0,0,0,0
23-07 14:44:09,5.625,2.125,88.127,0,0,10050232,45572276,702380,8247600,0,0,0,0,0,0
23-07 14:44:10,5.875,2.375,88.125,0,0,10050024,45571892,702384,8248176,0,2324.000,0,20.000,0,0
23-07 14:44:11,6.625,2.500,87.498,0,0,10050016,45571700,702384,8248368,0,8.000,0,2.000,0,0
23-07 14:44:12,5.875,2.875,87.875,0,0,10050004,45571188,702384,8248880,0,0,0,0,0,0
23-07 14:44:13,5.750,2.125,87.878,0,0,10050244,45570552,702384,8249268,0,20.001,0,1.000,0,0
23-07 14:44:14,6.250,2.125,87.998,0,0,10050216,45570040,702384,8249780,0,0,0,0,0,0
