"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_leveldb_run1.csv 1",,,,"Date:","23 Jul 2026 14:07:11 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:07:11,,9786332,49422824,132168,5197744,,,,
23-07 14:07:12,20.122,0.125,79.114,0.625,0,9770388,49425764,132216,5210512,0,14085.966,0,135.980,461.933,335.951
23-07 14:07:13,17.501,0.500,81.005,0.750,0,9761044,49425656,132252,5219720,0,16805.035,0,130.008,0,0
23-07 14:07:14,15.376,0.375,83.503,0.500,0,9755300,49431736,132280,5219320,0,15452.603,0,117.005,0,0
23-07 14:07:15,16.000,0.250,83.250,0.500,0,9749020,49433932,132328,5223228,0,15672.023,0,116.000,0,0
23-07 14:07:16,16.627,0.375,82.382,0.625,0,9746396,49420748,132376,5238596,0,15913.440,0,114.010,0,0
23-07 14:07:17,13.748,0.375,85.365,0.625,0,9756436,49418728,132404,5230632,0,14678.286,0,131.985,0,0
23-07 14:07:18,23.627,0.375,75.008,1.000,0,9741604,49417664,132476,5246088,0,18801.926,0,176.018,0,0
23-07 14:07:19,23.873,0.375,74.994,0.875,0,9735728,49411552,132532,5257676,0,19038.401,0,183.985,0,0
23-07 14:07:20,23.126,0.625,74.504,1.500,0,9723928,49408868,132632,5271700,0,17668.861,0,175.009,0,0
23-07 14:07:21,22.000,0.500,74.876,2.250,0,9711424,49409064,132712,5283520,0,18068.333,0,177.003,0,0
23-07 14:07:22,23.248,0.500,74.742,1.625,0,9741348,49374728,132772,5287752,0,16582.318,0,128.987,45.995,113.988
23-07 14:07:23,23.875,0.375,74.626,1.000,0,9746888,49366500,132804,5290372,0,12664.175,0,100.001,0,0
23-07 14:07:24,14.251,0.125,84.755,1.000,0,9744420,49375052,132864,5284296,0,15820.904,0,155.009,0,0
23-07 14:07:25,13.625,0.250,85.378,0.500,0,9737592,49378844,132880,5287308,0,12264.397,0,89.003,0,0
23-07 14:07:26,13.124,0.250,85.369,1.000,0,9734632,49382012,132920,5287016,0,14918.920,0,104.992,0,0
23-07 14:07:27,13.001,0.375,85.630,1.000,0,9738756,49377692,132944,5287204,0,14276.905,0,99.006,0,0
23-07 14:07:28,13.124,0.125,85.241,1.250,0,9738608,49380488,132976,5284588,0,14082.580,0,105.989,75.992,89.991
23-07 14:07:29,12.876,0.875,83.254,3.000,0,9731612,49385860,133000,5286172,0,143363.675,0,608.033,0,0
23-07 14:07:30,14.000,0.125,85.502,0.250,0,9730508,49372584,133012,5300172,0,12584.224,0,66.001,0,0
23-07 14:07:31,13.874,0.375,85.121,0.375,0,9737784,49378436,133036,5286956,0,13935.335,0,75.996,0,0
23-07 14:07:32,16.501,0.750,81.879,0.500,0,9748004,49353308,133096,5301784,0,15460.695,0,127.006,0,0
23-07 14:07:33,12.000,0.250,87.253,0.500,0,9743392,49365932,133128,5293932,0,15080.521,0,90.003,0,0
23-07 14:07:34,12.000,0.375,87.251,0.500,0,9728452,49379852,133148,5294916,0,13344.136,0,89.001,0,0
23-07 14:07:35,12.249,0.625,85.866,1.500,0,9727376,49385144,133164,5290632,0,58546.080,0,266.973,0,0
23-07 14:07:36,12.750,0.375,85.749,0.500,0,9719816,49386452,133200,5296856,0,15647.784,0,123.998,0,0
23-07 14:07:37,12.250,0.250,86.876,0.375,0,9738660,49371344,133208,5293180,0,15052.194,0,93.001,0,0
23-07 14:07:38,12.875,0.625,85.999,0.625,0,9726676,49381308,133248,5295108,0,15231.882,0,117.999,0,0
23-07 14:07:39,12.001,0.125,87.005,0.375,0,9708768,49383860,133248,5310080,0,15448.844,0,86.005,0,0
23-07 14:07:40,12.999,0.750,85.242,0.625,0,9715408,49393516,133304,5293852,0,15882.424,0,138.986,0,0
23-07 14:07:41,12.251,0.375,87.380,0.500,0,9705920,49387256,133316,5309484,0,15244.793,0,83.004,0,0
23-07 14:07:42,23.374,0.250,75.120,0.500,0,9711912,49386904,133344,5303956,0,15998.978,0,108.993,0,0
23-07 14:07:43,24.375,0.500,74.750,0.750,0,9706176,49392484,133364,5304092,0,16839.941,0,109.000,0,0
23-07 14:07:44,24.248,0.375,74.744,0.500,0,9709420,49390360,133388,5302976,0,15534.676,0,95.992,75.994,89.992
23-07 14:07:45,24.253,0.500,74.508,0.500,0,9724300,49359820,133400,5318248,0,16553.797,0,108.012,0,0
23-07 14:07:46,23.875,0.750,74.248,0.875,0,9723672,49372628,133456,5306292,0,22871.530,0,150.997,0,0
23-07 14:07:47,23.625,1.000,74.751,0.750,0,9722592,49375884,133524,5304048,0,27072.417,0,184.003,0,0
23-07 14:07:48,23.875,0.875,74.626,0.750,0,9730028,49367524,133572,5304948,0,19204.346,0,119.002,28.001,42.001
23-07 14:07:49,24.250,0.375,74.375,0.625,0,9728980,49373632,133612,5299932,0,18168.075,0,108.000,0,0
23-07 14:07:50,23.749,0.625,74.622,1.125,0,9744964,49349972,133660,5307388,0,17751.254,0,109.995,0,0
23-07 14:07:51,24.001,0.500,74.629,0.750,0,9734224,49343672,133688,5323940,0,17416.852,0,104.005,76.004,90.004
