"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_mysql_run3.csv 1",,,,"Date:","23 Jul 2026 14:15:30 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:15:30,,9812960,47958252,695736,6033012,,,,
23-07 14:15:31,21.747,3.625,72.490,0,0,9813456,47957748,695748,6033008,0,67.991,0,13.998,229.969,491.935
23-07 14:15:32,9.751,2.375,86.131,0,0,9813448,47957748,695748,6033016,0,12.001,0,3.000,0,0
23-07 14:15:33,9.625,2.750,86.121,0,0,9813572,47957620,695748,6033016,0,91.996,0,2.000,75.997,89.996
23-07 14:15:34,9.750,2.625,86.252,0,0,9813572,47957620,695748,6033016,0,0,0,0,0,0
23-07 14:15:35,9.750,2.625,86.375,0,0,9813824,47957368,695748,6033016,0,0,0,0,0,0
23-07 14:15:36,9.875,2.500,85.872,0,0,9813824,47957368,695748,6033016,0,0,0,0,0,0
23-07 14:15:37,9.750,2.250,86.374,0,0,9813824,47957368,695748,6033016,0,0,0,0,0,0
23-07 14:15:38,9.375,2.875,86.375,0,0,9813824,47957368,695748,6033016,0,0,0,0,0,0
23-07 14:15:39,9.875,2.625,86.126,0,0,9813824,47957368,695748,6033016,0,0,0,0,0,0
23-07 14:15:40,9.500,2.625,85.998,0,0,9813820,47957368,695748,6033020,0,0,0,0,0,0
23-07 14:15:41,10.001,2.125,86.507,0,0,9813820,47957368,695748,6033020,0,0,0,0,0,0
23-07 14:15:42,9.250,2.625,86.371,0,0,9815440,47955748,695748,6033020,0,0,0,0,0,0
23-07 14:15:43,10.001,2.625,86.259,0,0,9815584,47955604,695748,6033020,0,0,0,0,0,0
23-07 14:15:44,9.125,2.875,86.250,0,0,9815584,47955604,695748,6033020,0,0,0,0,0,0
23-07 14:15:45,9.500,2.625,86.128,0,0,9815584,47955604,695748,6033020,0,0,0,0,0,0
23-07 14:15:46,9.375,2.750,86.126,0,0,9815584,47955604,695748,6033020,0,0,0,0,0,0
23-07 14:15:47,9.250,2.750,86.123,0,0,9815836,47955352,695748,6033020,0,0,0,0,0,0
23-07 14:15:48,9.250,2.625,86.377,0,0,9815836,47955352,695748,6033020,0,0,0,0,0,0
23-07 14:15:49,9.500,2.750,85.999,0,0,9815836,47955352,695748,6033020,0,0,0,0,75.999,89.999
23-07 14:15:50,9.375,2.500,86.251,0,0,9815836,47955352,695748,6033020,0,0,0,0,0,0
23-07 14:15:51,10.125,2.125,86.499,0,0,9815836,47955352,695748,6033020,0,8.000,0,2.000,0,0
23-07 14:15:52,10.125,2.500,86.252,0,0,9819724,47951464,695748,6033020,0,0,0,0,0,0
23-07 14:15:53,9.750,2.125,85.874,0,0,9819868,47951320,695748,6033020,0,0,0,0,0,0
23-07 14:15:54,9.875,2.250,86.371,0,0,9819868,47951320,695748,6033020,0,0,0,0,0,0
23-07 14:15:55,9.874,2.750,86.119,0,0,9819868,47951320,695748,6033020,0,0,0,0,0,0
23-07 14:15:56,9.625,2.625,86.375,0,0,9819832,47951320,695748,6033052,0,4.000,0,1.000,0,0
23-07 14:15:57,9.875,2.500,86.254,0,0,9819832,47951320,695748,6033052,0,0,0,0,0,0
23-07 14:15:58,9.875,2.375,86.254,0,0,9819832,47951320,695748,6033052,0,0,0,0,0,0
23-07 14:15:59,9.625,2.625,86.124,0,0,9819832,47951320,695748,6033052,0,0,0,0,0,0
23-07 14:16:00,10.125,2.125,86.123,0,0,9819832,47951320,695748,6033052,0,0,0,0,27.999,41.999
