"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_postgresql_run1.csv 1",,,,"Date:","23 Jul 2026 14:16:51 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:16:51,,9810172,47960396,695820,6034016,,,,
23-07 14:16:52,10.749,1.125,87.245,0.375,0,9819884,47903840,695844,6092428,0,71752.138,0,659.964,137.993,0
23-07 14:16:53,10.500,1.625,87.372,0.625,0,9831808,47828556,695864,6167040,0,88093.281,0,791.976,0,0
23-07 14:16:54,10.875,1.250,87.128,0.500,0,9844436,47769012,695876,6225560,0,71954.279,0,664.021,76.002,90.003
23-07 14:16:55,11.125,1.125,87.374,0.500,0,9857452,47708976,695892,6284004,0,71855.502,0,662.995,0,0
23-07 14:16:56,11.000,1.250,87.251,0.375,0,9870492,47649424,695900,6342176,0,71856.518,0,663.005,0,0
23-07 14:16:57,10.750,1.375,87.246,0.500,0,9884412,47586904,695912,6403672,0,71853.043,0,660.973,0,0
23-07 14:16:58,10.500,1.375,87.127,0.500,0,9898856,47524112,695932,6464892,0,71769.777,0,662.016,0,0
23-07 14:16:59,10.750,1.250,87.500,0.625,0,9913400,47444768,695948,6542360,0,87715.965,0,789.000,0,0
23-07 14:17:00,10.375,1.250,87.249,0.375,0,9928120,47381976,695964,6603504,0,71755.529,0,659.996,0,0
23-07 14:17:01,10.625,1.250,87.123,0.500,0,9936288,47325612,695984,6657884,0,73350.405,0,691.985,27.999,41.999
23-07 14:17:02,10.750,1.375,87.127,0.500,0,9936044,47277356,696016,6705196,0,75493.614,0,701.015,0,0
23-07 14:17:03,10.750,1.000,87.122,0.500,0,9937088,47228228,696040,6752032,0,75881.688,0,709.978,0,0
23-07 14:17:04,10.876,1.500,87.255,0.500,0,9937160,47162896,696076,6815592,0,91933.129,0,835.047,0,0
23-07 14:17:05,11.125,1.375,87.253,0.625,0,9937060,47114836,696096,6862484,0,75998.213,0,709.021,0,0
23-07 14:17:06,11.125,1.000,86.751,0.500,0,9937284,47066184,696132,6909972,0,76452.506,0,723.005,0,0
23-07 14:17:07,10.750,1.250,87.498,0.500,0,9937508,47017536,696152,6957120,0,75978.517,0,705.986,0,0
23-07 14:17:08,10.625,1.500,87.001,0.500,0,9937384,46969236,696172,7004300,0,75580.614,0,707.006,0,0
23-07 14:17:09,11.000,1.250,87.376,0.500,0,9937748,46920360,696192,7051456,0,75984.716,0,709.007,0,0
23-07 14:17:10,10.750,1.250,87.375,0.500,0,9937996,46855184,696216,7114756,0,91515.936,0,831.999,76.000,90.000
23-07 14:17:11,10.875,1.250,87.249,0.500,0,9937000,46807736,696236,7161940,0,75603.339,0,706.994,0,0
23-07 14:17:12,10.999,1.125,87.116,0.500,0,9935400,46760768,696256,7209072,0,75884.454,0,704.930,0,0
23-07 14:17:13,10.250,1.500,87.125,0.625,0,9934724,46713304,696276,7255968,0,75863.943,0,703.999,0,0
23-07 14:17:14,10.876,1.375,87.385,0.375,0,9933768,46666080,696292,7303080,0,76336.666,0,731.083,0,0
23-07 14:17:15,10.873,1.250,87.111,0.625,0,9932104,46602732,696308,7366404,0,95844.078,0,868.856,0,0
