"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_rocksdb_run1.csv 1",,,,"Date:","23 Jul 2026 14:05:22 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:05:22,,9645792,51351832,131732,3456072,,,,
23-07 14:05:23,12.374,0.125,87.244,0,0,9664004,51319852,131732,3469652,0,0,0,0,3033.798,3239.784
23-07 14:05:24,12.375,0.250,87.500,0,0,9697080,51272224,131732,3483688,0,0,0,0,3028.002,3102.002
23-07 14:05:25,12.125,0.250,87.376,0,0,9723164,51232108,131732,3497320,0,0,0,0,1258.019,1110.017
23-07 14:05:26,12.375,0.250,87.249,0,0,9757000,51183884,131732,3511324,0,36.000,0,1.000,0,0
23-07 14:05:27,12.375,0.250,87.501,0,0,9804024,51115004,131732,3532792,0,0,0,0,0,0
23-07 14:05:28,12.125,0.375,87.374,0,0,9858928,51038532,131732,3553740,0,0,0,0,0,0
23-07 14:05:29,14.375,0.250,85.375,0,0,9910320,50958160,131732,3582160,0,0,0,0,0,0
23-07 14:05:30,24.749,0.375,74.871,0,0,9955028,50845592,131732,3648112,0,0,0,0,0,0
23-07 14:05:31,24.624,0.500,74.748,0,0,10004724,50729112,131732,3713204,0,0,0,0,0,0
23-07 14:05:32,22.250,0.750,74.625,2.000,0,9803236,50988144,131732,3656652,0,133300.327,0,536.001,0,0
23-07 14:05:33,12.375,0.125,87.252,0,0,9849152,50920012,131732,3678512,0,0,0,0,0,0
23-07 14:05:34,11.874,0.875,87.366,0,0,9896240,50859028,131732,3692180,0,0,0,0,45.995,113.988
23-07 14:05:35,11.750,1.250,87.000,0,0,9911756,50827252,131732,3707956,0,0,0,0,76.000,90.000
23-07 14:05:36,12.125,1.000,86.876,0,0,9929924,50793124,131732,3723472,0,112.001,0,24.000,0,0
23-07 14:05:37,20.121,1.375,78.486,0,0,9948756,50706036,131732,3790108,0,0,0,0,0,0
23-07 14:05:38,24.751,1.000,74.377,0,0,9961212,50627360,131732,3854640,0,0,0,0,0,0
23-07 14:05:39,23.002,0.875,74.381,1.500,0,9973772,50551728,131732,3915816,0,79878.640,0,312.026,0,0
23-07 14:05:40,21.499,2.000,74.371,1.875,0,9882004,50744436,131752,3817688,0,73843.723,0,295.983,0,0
23-07 14:05:41,22.250,2.250,74.624,0.875,0,9865512,50710132,131760,3867064,0,65907.330,0,259.997,0,0
23-07 14:05:42,23.377,2.125,74.382,0,0,9850928,50671672,131760,3918968,0,0,0,0,0,0
23-07 14:05:43,22.625,1.750,74.624,1.250,0,9844692,50628372,131764,3967124,0,65903.352,0,260.997,75.999,89.999
23-07 14:05:44,23.749,1.500,74.246,0,0,9897748,50474708,131764,4065136,0,0,0,0,0,0
23-07 14:05:45,22.253,2.125,74.759,1.000,0,10021040,50196236,131768,4216204,0,65923.850,0,261.031,28.003,42.005
23-07 14:05:46,25.375,2.625,67.501,4.625,0,10112712,50053960,131784,4265504,0,205948.053,0,812.016,0,0
